site_id,latitude,longitude,elevation_m,slope_pct,annual_rainfall_mm,soil_type,current_land_use,distance_to_road_km,distance_to_forest_km,degradation_level
SITE-KAL-001,-0.5023,114.3421,85.0,8.5,2850,peat,degraded_forest,2.3,1.2,high
SITE-KAL-002,-1.2154,116.8732,120.0,14.2,3100,loam,shrubland,5.7,3.8,medium
SITE-KAL-003,-2.4871,113.9654,45.0,5.1,2650,alluvial,bare_land,1.1,0.6,severe
SITE-KAL-004,0.1234,117.2345,210.0,22.8,2400,laterite,grassland,8.9,6.5,medium
SITE-KAL-005,-0.8765,115.6789,60.0,3.4,3350,peat,degraded_forest,3.2,2.1,high
SITE-SUM-001,2.3456,99.1234,380.0,18.7,2950,volcanic,shrubland,4.5,5.2,medium
SITE-SUM-002,1.5678,101.4567,155.0,11.3,3200,loam,agricultural,6.8,7.3,low
SITE-SUM-003,3.2109,98.7654,520.0,28.4,2700,clay,grassland,12.1,9.8,medium
SITE-SUM-004,0.7891,103.2109,90.0,6.9,3500,alluvial,bare_land,2.7,1.5,severe
SITE-SUM-005,2.8765,100.5432,260.0,16.2,2800,loam,degraded_forest,5.4,4.1,high
SITE-JAV-001,-7.5432,110.2345,680.0,32.1,2200,volcanic,shrubland,7.3,10.4,medium
SITE-JAV-002,-6.8765,107.6543,340.0,19.8,2450,clay,agricultural,3.9,8.6,low
SITE-JAV-003,-7.1234,109.8765,890.0,41.5,1950,volcanic,grassland,15.6,12.3,medium
SITE-SUL-001,-1.4567,120.7654,175.0,12.4,2600,loam,degraded_forest,4.2,3.7,high
SITE-SUL-002,-2.1098,122.3456,95.0,7.6,2750,alluvial,bare_land,1.8,1.1,severe
SITE-SUL-003,-0.9876,121.6543,310.0,24.5,2350,laterite,shrubland,9.7,7.9,medium
SITE-PAP-001,-3.5678,140.2345,145.0,9.3,3800,loam,degraded_forest,6.1,4.6,high
SITE-PAP-002,-4.1234,138.7654,280.0,17.6,4100,alluvial,bare_land,3.5,2.8,severe
